"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,456,382,667,600","0.57%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$2,252,363,204,851","0.75%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,951,926,135,838","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,951,926,135,838","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,696,388,359,008","0.00%","USA","Analyze"
"FB","Facebook Inc Class A","Common stocks","Large cap","Communication Services","$1,063,486,067,697","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$704,811,591,283","0.00%","USA","Analyze"
"BRK.B","Berkshire Hathaway Inc.","Common stocks","Large cap","Financials","$648,504,053,326","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$564,089,120,000","0.07%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$512,848,760,000","0.55%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$487,218,730,633","2.19%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$455,235,128,170","2.37%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$410,570,421,224","1.49%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$394,856,076,186","1.24%","USA","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$357,549,265,904","1.68%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$348,408,007,776","2.31%","USA","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$348,198,775,427","0.48%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$341,281,895,112","1.93%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$327,337,184,823","0.49%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$327,046,698,310","0.00%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$313,718,928,000","0.00%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$272,069,395,528","1.61%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$263,072,114,081","0.65%","USA","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$261,271,677,390","3.28%","USA","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$249,465,200,000","1.25%","USA","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$249,106,859,599","1.26%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$248,722,357,912","2.45%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$246,928,065,871","0.00%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$246,806,780,000","0.00%","USA","Analyze"
